"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000723","GO:0000723","telomere maintenance","32/1762","145/17073",2.51996052520589e-05,0.00409283588635524,0.00376299368486155,"CCNE1/HUS1B/FBXO4/SMC5/HNRNPA1/XRCC5/CCT2/HNRNPC/HSP90AB1/CCT6A/SMC6/GNL3/HSP90AA1/HNRNPU/USP7/RFC1/PTGES3/HNRNPA2B1/PARN/CCT5/TERF2IP/HNRNPD/XRCC6/TINF2/TEP1/UPF1/SMARCAL1/MCRS1/CTC1/DCLRE1B/PARP3/PML",32
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","7/1762","11/17073",2.79469683048075e-05,0.00441637631562728,0.00406045994687488,"IGF2BP1/PABPC1/YBX1/HNRNPU/SYNCRIP/DHX9/HNRNPD",7
"GO:0070670","GO:0070670","response to interleukin-4","13/1762","36/17073",3.39976710761333e-05,0.00523116796795135,0.00480958742896988,"CITED1/NFIL3/RPL3/HSP90AB1/XBP1/HSPA5/PTPN2/STAT6/STAT5A/PARP14/PML/IL2RG/RUFY4",13
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","44/1762","229/17073",3.56034513479994e-05,0.00533777897517314,0.00490760664060008,"LTF/CAMK4/CCR7/HOXA7/SLC9B2/GPR68/ROR2/CDK6/THOC5/FBXW7/NKAP/PTPN2/APP/CDC42/HCLS1/AP3B1/TGFBR2/PSEN1/SPI1/CREB1/LTBR/NOTCH2/STAT5A/FES/GAB3/INPP5D/CSF1R/TYROBP/RARA/CEBPA/PIK3CD/MAPK14/PPARGC1B/OSCAR/BATF/CCR1/GPR137/ZFP36L1/NRROS/SH3PXD2A/IRF4/IRF7/IL31RA/BATF2",44
"GO:0010721","GO:0010721","negative regulation of cell development","51/1762","280/17073",3.98421612356887e-05,0.00582392791862679,0.00535457677449111,"CAV3/LTF/NPR2/IL17D/PGLYRP1/IL6/LAG3/SPP1/NODAL/NR2E1/NRARP/HES1/FRZB/EPHA7/BMP7/WNT3/SEMA3B/HOXA7/SEMA5B/SOX10/LIN28A/WNT5A/NTN1/GPR68/LRP4/CDK6/FBXW7/RYK/HMGB1/ANXA1/PTPN2/CTNNA1/HSPA9/PSEN1/ULK1/SEMA4A/CTDSP1/INPP5D/GSK3A/DIP2B/HDAC6/RARA/NOTCH1/CEBPA/ZBTB7B/ASCL2/GORASP1/BCL11A/GPR137/CDK5/EPHB2",51
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","8/1762","15/17073",4.18587946422681e-05,0.00596947249447174,0.00548839189314668,"LIN28A/IGF2BP1/PABPC1/YBX1/HNRNPU/SYNCRIP/DHX9/HNRNPD",8
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","23/1762","92/17073",4.4136396715054e-05,0.00614441694268859,0.00564923754445566,"PRKD1/FERMT2/CDK1/WWTR1/NPM1/NMD3/CCT2/LAMTOR5/CCT6A/HSP90AA1/KAT7/IPO7/HCLS1/CCT5/TYK2/PSEN1/EP300/PRKCD/MAPK14/MCRS1/SMAD3/DTX3L/PARP9",23
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","27/1762","117/17073",4.64023575865318e-05,0.00630964150717329,0.00580114663878624,"CTSG/LTF/PIK3C2G/SAP30/VAPA/SMC5/EEF1A1/NUCKS1/HSPD1/SMC6/EEA1/HDAC1/CDC42/PSMC3/RAB5A/SAP30BP/PI4KA/EP300/SP1/INPP5K/CSF1R/TBC1D20/CCNK/STOM/ZFYVE1/CCL8/APOBEC3H",27
"GO:0030217","GO:0030217","T cell differentiation","54/1762","304/17073",4.8783515406572e-05,0.0063903294147312,0.00587533189688499,"IL6/LAG3/WNT10B/CAMK4/CCR7/NRARP/CCR9/JAG2/AIRE/SOX13/ITK/EOMES/ZNF683/ZEB1/TOX/CDK6/GPR89B/LIPA/HMGB1/SOD1/ANXA1/RPL22/NKAP/XBP1/PTPN2/SMARCE1/SMARCC1/SMARCA2/AP3B1/NCKAP1L/TGFBR2/STAT6/SPI1/TSC1/SEMA4A/SPN/ZMIZ1/ARID1A/RARA/MR1/TNFSF8/ZBTB7B/PIK3CD/ASCL2/LMBR1L/BATF/PIK3R6/ZFP36L1/LGALS9/MYB/IRF4/IL2RG/RSAD2/PSMB11",54
"GO:0032608","GO:0032608","interferon-beta production","17/1762","58/17073",5.02745259240012e-05,0.0063903294147312,0.00587533189688499,"POLR3G/HSP90AA1/DHX9/IRF3/TRIM38/IRF5/STING1/POLR3A/TRIM56/TICAM1/OAS1/RIGI/IFIH1/IRF7/ISG15/OAS2/OAS3",17
"GO:0032648","GO:0032648","regulation of interferon-beta production","17/1762","58/17073",5.02745259240012e-05,0.0063903294147312,0.00587533189688499,"POLR3G/HSP90AA1/DHX9/IRF3/TRIM38/IRF5/STING1/POLR3A/TRIM56/TICAM1/OAS1/RIGI/IFIH1/IRF7/ISG15/OAS2/OAS3",17
"GO:0006413","GO:0006413","translational initiation","27/1762","118/17073",5.43415096357841e-05,0.00676031503915807,0.00621550032945015,"EIF4B/EIF3C/NPM1/EIF1/EIF3L/EIF2S2/RPS5/NCK2/EIF3E/RPS3A/DHX29/EIF3J/EIF3H/PAIP2/EIF4A2/DNAJC3/DENR/EIF2S3/TMED2/SH3BGRL/EIF3D/EIF3A/EIF3M/KHDRBS1/EIF4E/CDC123/EIF1AD",27
"GO:0019080","GO:0019080","viral gene expression","24/1762","100/17073",6.18635981676214e-05,0.00753575955179338,0.00692845166320269,"MID2/ST6GALNAC3/NUCKS1/EIF3L/HDAC1/CANX/SPCS3/DENR/PSMC3/EIF3D/EIF3A/DHX9/MGAT1/EP300/SP1/MOGS/INPP5K/GSK3A/EDEM2/USF1/PARP10/ST3GAL2/HEXIM1/PARP9",24
"GO:0034340","GO:0034340","response to type I interferon","22/1762","88/17073",6.41606465866749e-05,0.00753948069859029,0.00693187292227244,"WNT5A/PTPN2/CDC37/TYK2/SHMT2/IRF3/STING1/TTLL12/TRIM56/TREX1/ADAR/STAT2/OAS1/IFIH1/IRF7/ZBP1/ISG15/OAS2/MX1/OAS3/IFIT1/USP18",22
"GO:0030099","GO:0030099","myeloid cell differentiation","69/1762","420/17073",6.44730690832075e-05,0.00753948069859029,0.00693187292227244,"LTF/CAMK4/CCR7/HOXA7/DYRK3/SLC9B2/GPR68/HOXA9/SLC4A1/ROR2/CDK6/FLVCR1/HIF1A/LIPA/MTURN/THOC5/FBXW7/PABPC4/NKAP/ARID4A/PTPN2/APP/MEF2C/CDC42/RNF41/HCLS1/HSPA9/AP3B1/NCKAP1L/TGFBR2/PSEN1/SPI1/CREB1/LTBR/NOTCH2/STAT5A/EP300/FES/KCNQ1/GAB3/RASGRP4/ZNF385A/INPP5D/CSF1R/TYROBP/RARA/CEBPA/NBEAL2/PIK3CD/MAPK14/KLF13/PPARGC1B/OSCAR/BATF/CCR1/GPR137/ZFP36L1/KLF2/ADAR/NRROS/SH3PXD2A/MYB/ALAS1/PML/IRF4/IRF7/IL31RA/BATF2/ISG15",69
"GO:0048255","GO:0048255","mRNA stabilization","16/1762","54/17073",7.19267614964595e-05,0.00824619165627057,0.00758162994762474,"IGF2BP1/LARP1B/PABPC1/HNRNPC/TAF15/HNRNPA0/YBX1/HNRNPU/SYNCRIP/THRAP3/DHX9/HNRNPD/LARP4B/ANGEL2/MAPK14/TRAF2",16
"GO:0043011","GO:0043011","myeloid dendritic cell differentiation","9/1762","20/17073",7.57751979983619e-05,0.00852033812877735,0.0078336829185756,"CAMK4/TGFBR2/PSEN1/SPI1/LTBR/NOTCH2/BATF/IRF4/BATF2",9
"GO:0071353","GO:0071353","cellular response to interleukin-4","12/1762","34/17073",8.81004828125664e-05,0.00971931175481275,0.00893603109679795,"NFIL3/RPL3/HSP90AB1/XBP1/HSPA5/PTPN2/STAT6/STAT5A/PARP14/PML/IL2RG/RUFY4",12
"GO:0010506","GO:0010506","regulation of autophagy","58/1762","345/17073",0.000127511897181244,0.0137496927958505,0.012641603180832,"MAGEA6/ATP6V1G2/PRKD1/RFPL3/MID2/ATP6V1C2/EEF1A2/PRKAA2/ELAPOR1/MAPT/SLC7A5/HIF1A/SNCA/FBXW7/EEF1A1/SNX4/HMGB1/CALCOCO2/PAFAH1B2/RB1CC1/GNAI3/GOLGA2/RNF41/VPS26A/MTDH/WNK1/RAB8A/SNX30/EP300/TSC1/VPS13D/TFEB/FOXK2/EXOC4/ULK1/TRIM38/GSK3A/STING1/HDAC6/CTSA/SMCR8/TSC2/RNF31/DCAF12/ATG13/CLN3/DAPK3/BMF/NPRL2/ABL2/GPR137/WDR24/RNF5/TICAM1/CDK5/TRIM5/NRBP2/RUFY4",58
"GO:0001819","GO:0001819","positive regulation of cytokine production","77/1762","492/17073",0.000129336942666628,0.0137496927958505,0.012641603180832,"CADM1/IL17D/IL6/CCR7/NODAL/AIRE/ITK/WNT5A/TNXB/TSLP/PDE4D/SLC7A5/POLR3G/KCNQ1OT1/HIF1A/CD58/DDX21/HSPD1/HMGB1/SOD1/ANXA1/HDAC2/LAMTOR5/XBP1/HSP90AA1/APP/CYRIB/PQBP1/DHX9/BTK/TYK2/PSEN1/LILRA2/IRF3/IRF5/ARHGEF2/CSF1R/STING1/SPN/SCIMP/TYROBP/GPSM3/RARA/ZBTB7B/POLR3A/IL17RA/PIK3CD/MAPK14/UNC93B1/NLRP12/P2RX7/ZC3HAV1/SCRIB/TRIM56/POU2F2/BATF/PRKD2/SPHK2/HPSE/TICAM1/SMAD3/LGALS9/TRAF2/MYB/OAS1/IRF4/RIGI/IFIH1/EPHB2/DHX58/IRF7/EIF2AK2/ISG15/OAS2/NLRP2/OAS3/RSAD2",77
"GO:1903829","GO:1903829","positive regulation of protein localization","72/1762","454/17073",0.000140286250618137,0.0144780997423217,0.0133113077122837,"PRKD1/FERMT2/TMEM30B/RAMP3/GZMB/CDK1/CHRM1/BMP6/PRKAA2/WNT5A/HCAR2/WWTR1/GPR68/NLGN2/MAPT/LRP4/IRS2/TTN/HIF1A/SNCA/VRK1/NPM1/FBXW7/NMD3/KIF20B/CCT2/ANP32B/HSP90AB1/PCNT/LAMTOR5/CCT6A/GNL3/HSP90AA1/KAT7/YWHAE/BCAP31/UBE2D3/IPO7/HCLS1/MSN/CCT5/PRKAR1A/KIF5B/TYK2/PSEN1/ZDHHC5/LAMTOR1/LRP1/EP300/ITGB2/GSK3A/EDEM2/PIAS1/PRKCD/TYROBP/TRAPPC12/RNF31/C2CD2L/ATG13/STOM/MAPK14/CLN3/NUP62/NADK/P2RX7/MCRS1/SMAD3/CDK5/DTX3L/PARP9/EPHB2/GHRL",72
"GO:0032479","GO:0032479","regulation of type I interferon production","26/1762","118/17073",0.000143617202848411,0.0144780997423217,0.0133113077122837,"POLR3G/HSPD1/HSP90AA1/PQBP1/DHX9/IRF3/TRIM38/IRF5/STING1/TYROBP/RBX1/POLR3A/ZC3HAV1/TRIM56/TREX1/TICAM1/OAS1/RIGI/IFIH1/DHX58/IRF7/XAF1/ISG15/OAS2/OAS3/SIGLEC1",26
"GO:0032606","GO:0032606","type I interferon production","26/1762","118/17073",0.000143617202848411,0.0144780997423217,0.0133113077122837,"POLR3G/HSPD1/HSP90AA1/PQBP1/DHX9/IRF3/TRIM38/IRF5/STING1/TYROBP/RBX1/POLR3A/ZC3HAV1/TRIM56/TREX1/TICAM1/OAS1/RIGI/IFIH1/DHX58/IRF7/XAF1/ISG15/OAS2/OAS3/SIGLEC1",26
"GO:0032755","GO:0032755","positive regulation of interleukin-6 production","23/1762","99/17073",0.000147945172095189,0.0146616173091622,0.013480035573419,"IL17D/IL6/WNT5A/TSLP/HSPD1/HMGB1/XBP1/APP/DHX9/BTK/LILRA2/ARHGEF2/SCIMP/TYROBP/IL17RA/UNC93B1/P2RX7/POU2F2/SPHK2/TICAM1/LGALS9/RIGI/IFIH1",23
"GO:0030098","GO:0030098","lymphocyte differentiation","68/1762","424/17073",0.000152016557100792,0.0148140134894722,0.0136201501248026,"PGLYRP1/IL6/LAG3/WNT10B/CAMK4/CCR7/NRARP/CCR9/JAG2/AIRE/SOX13/ITK/CR2/EOMES/ZNF683/ZEB1/FLT3/TOX/NFIL3/CDK6/GPR89B/LIPA/HMGB1/SOD1/ANXA1/RPL22/NKAP/XBP1/PTPN2/SMARCE1/KAT7/RNF41/SMARCC1/SMARCA2/TOP2B/AP3B1/XRCC6/BTK/NCKAP1L/TGFBR2/STAT6/SPI1/NOTCH2/EP300/TSC1/SEMA4A/INPP5D/SPN/ZMIZ1/ARID1A/RARA/MR1/TNFSF8/ZBTB7B/SYVN1/LYL1/PIK3CD/ASCL2/LMBR1L/BATF/PIK3R6/ZFP36L1/LGALS9/MYB/IRF4/IL2RG/RSAD2/PSMB11",68
"GO:0043489","GO:0043489","RNA stabilization","17/1762","63/17073",0.000156399102015466,0.0149912385161382,0.0137830925624329,"IGF2BP1/LARP1B/PABPC1/HNRNPC/TAF15/HNRNPA0/YBX1/HNRNPU/SYNCRIP/PARN/THRAP3/DHX9/HNRNPD/LARP4B/ANGEL2/MAPK14/TRAF2",17
"GO:0042063","GO:0042063","gliogenesis","56/1762","333/17073",0.000163920637025758,0.0154587736240259,0.0142129489523013,"AREG/GPM6B/IL6/RRAS2/POU3F1/NR2E1/HES1/CDK1/CHRM1/SOX13/MMP24/SOX2/SOX10/PTPRB/LGI4/LIN28A/KCNJ10/POU3F2/NTN1/LAMA2/EOMES/CRB1/KLF15/ROR2/MAPT/SLC7A5/SH3TC2/CDK6/SOD1/ANXA1/HDAC2/HDAC1/APP/PPP3R1/CRKL/PSEN1/ZEB2/CSK/LRP1/P2RX4/CSF1R/ZMIZ1/SRGAP2/NOTCH1/ASCL2/NSUN5/SCRIB/GRN/MED12/CDK5/CNP/NRROS/SPINT1/APCDD1/MYB/CCL2",56
"GO:0039530","GO:0039530","MDA-5 signaling pathway","6/1762","10/17073",0.000174258617699421,0.015920158401383,0.0146371506676142,"IRF3/DDX60/IFIH1/DHX58/IRF7/OAS3",6
"GO:0044829","GO:0044829","positive regulation by host of viral genome replication","6/1762","10/17073",0.000174258617699421,0.015920158401383,0.0146371506676142,"VAPA/EEF1A1/NUCKS1/TBC1D20/STOM/ZFYVE1",6
"GO:0032069","GO:0032069","regulation of nuclease activity","9/1762","22/17073",0.000185293173400585,0.0161702863413913,0.0148671207628717,"PDE3A/NPM1/HMGB1/DFFA/PRKCD/OAS1/OASL/OAS2/OAS3",9
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","9/1762","22/17073",0.000185293173400585,0.0161702863413913,0.0148671207628717,"PTPN2/TTLL12/TREX1/ADAR/STAT2/OAS1/ISG15/OAS3/USP18",9
"GO:0071359","GO:0071359","cellular response to dsRNA","9/1762","22/17073",0.000185293173400585,0.0161702863413913,0.0148671207628717,"NPM1/PQBP1/DHX9/IRF3/STING1/P2RX7/RIGI/IFIH1/IFIT1",9
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","35/1762","182/17073",0.000210794374897163,0.0178625320293291,0.016422988140348,"WNT10B/SOX13/SLC9B2/GPR68/ROR2/TOX/HMGB1/ANXA1/NKAP/XBP1/SMARCE1/SMARCC1/HCLS1/SMARCA2/AP3B1/XRCC6/BTK/NCKAP1L/TGFBR2/SPI1/CREB1/NOTCH2/FES/INPP5D/ZMIZ1/TYROBP/ARID1A/RARA/ZBTB7B/PPARGC1B/CCR1/PIK3R6/ZFP36L1/LGALS9/IL2RG",35
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","35/1762","182/17073",0.000210794374897163,0.0178625320293291,0.016422988140348,"WNT10B/SOX13/SLC9B2/GPR68/ROR2/TOX/HMGB1/ANXA1/NKAP/XBP1/SMARCE1/SMARCC1/HCLS1/SMARCA2/AP3B1/XRCC6/BTK/NCKAP1L/TGFBR2/SPI1/CREB1/NOTCH2/FES/INPP5D/ZMIZ1/TYROBP/ARID1A/RARA/ZBTB7B/PPARGC1B/CCR1/PIK3R6/ZFP36L1/LGALS9/IL2RG",35
"GO:0050684","GO:0050684","regulation of mRNA processing","27/1762","128/17073",0.000231960425634972,0.0188326633000229,0.0173149363998122,"SLC39A5/CELF3/RBFOX1/NPM1/ARB2A/FXR1/HNRNPA1/RBM39/BARD1/NCL/SLTM/SRRM1/HNRNPU/ZC3H14/SRSF9/RBMX/HNRNPA2B1/DDX5/THRAP3/WTAP/DHX9/KHDRBS1/HNRNPK/RBM42/SF3B4/SRSF7/ZFP36L1",27
"GO:0071357","GO:0071357","cellular response to type I interferon","20/1762","83/17073",0.000232525775593681,0.0188326633000229,0.0173149363998122,"WNT5A/PTPN2/CDC37/TYK2/IRF3/STING1/TTLL12/TRIM56/TREX1/ADAR/STAT2/OAS1/IFIH1/IRF7/ZBP1/ISG15/OAS2/OAS3/IFIT1/USP18",20
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","53/1762","315/17073",0.000238973613790788,0.0188326633000229,0.0173149363998122,"LTF/PGLYRP1/LAG3/WNT10B/CAMK4/NRARP/HOXA7/SOX13/SLC9B2/GPR68/ROR2/ZNF683/ZEB1/TOX/CDK6/FBXW7/HMGB1/SOD1/ANXA1/NKAP/XBP1/PTPN2/SMARCE1/RNF41/SMARCC1/HCLS1/SMARCA2/AP3B1/XRCC6/BTK/NCKAP1L/TGFBR2/SPI1/CREB1/NOTCH2/FES/INPP5D/ZMIZ1/TYROBP/ARID1A/RARA/ZBTB7B/ASCL2/PPARGC1B/BATF/CCR1/PIK3R6/GPR137/ZFP36L1/LGALS9/IRF4/IL2RG/IRF7",53
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","18/1762","71/17073",0.000239330288512236,0.0188326633000229,0.0173149363998122,"CELF3/RBFOX1/ARB2A/FXR1/HNRNPA1/STRAP/RSRC1/RBM17/HNRNPU/SRSF9/RBMX/HNRNPM/DDX5/PQBP1/THRAP3/WTAP/DHX9/KHDRBS1",18
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","18/1762","71/17073",0.000239330288512236,0.0188326633000229,0.0173149363998122,"AFG2A/RPL5/RPL24/NSA2/RPL26/NPM1/RPL6/RSL24D1/RPL7/RPL10A/RPL26L1/RPL23A/RPL7A/RSL1D1/RPL11/RPL14/RPL35A/TRAF7",18
"GO:0140374","GO:0140374","antiviral innate immune response","14/1762","48/17073",0.000241568282452834,0.0188326633000229,0.0173149363998122,"AKAP1/STING1/TRIM25/OAS1/RIGI/IFIH1/DHX58/EIF2AK2/ZBP1/IFIT2/MX1/IFIT3/IFIT1/USP18",14
"GO:0009895","GO:0009895","negative regulation of catabolic process","54/1762","323/17073",0.000247304570491158,0.0190261818902869,0.0174928593005311,"MAGEA6/ALK/LAPTM4B/HCAR2/IGF2BP1/SLC4A1/TIMP3/SLC7A5/LARP1B/SNCA/RPL5/PDCL3/PABPC1/HNRNPC/SNX3/TAF15/HSP90AB1/EIF3H/HNRNPA0/YBX1/GOLGA2/RPL11/HNRNPU/RNF41/USP7/SMARCC1/SYNCRIP/PARN/THRAP3/DHX9/HNRNPD/WNK1/PSEN1/LARP4B/EP300/TSC1/FOXK2/SF3B3/DEDD/DFFA/ANGEL2/GSK3A/CTSA/SMCR8/TSC2/MAPK14/AGAP2/BMF/RGP1/RNF5/SMAD3/TRAF2/PML/NRBP2",54
"GO:0043484","GO:0043484","regulation of RNA splicing","34/1762","177/17073",0.000263442235968449,0.0197727077116569,0.0181792225042859,"SLC39A5/HOXB-AS3/CELF3/RBFOX1/NPM1/ARB2A/ENY2/FXR1/HNRNPA1/RBM39/FAM50A/ZNF326/HNRNPH3/NCL/SRRM1/HNRNPU/SRSF9/RBMX/HNRNPH1/HNRNPA2B1/DDX5/TAF12/PQBP1/THRAP3/WTAP/KHDRBS1/HNRNPK/RBM42/TRRAP/SF3B3/SF3B4/RBM12B/SRSF7/POLR2A",34
"GO:0001649","GO:0001649","osteoblast differentiation","44/1762","249/17073",0.000263771370191421,0.0197727077116569,0.0181792225042859,"AREG/LTF/PRKD1/DLX5/IL6/RRAS2/WNT10B/SPP1/FERMT2/CITED1/CHRD/GDF10/BMP7/WNT3/BMP6/SOX2/WWTR1/SCUBE3/ITGA11/IGFBP5/DDR2/SMAD6/CDK6/KCNQ1OT1/TPM4/DDX21/SUCO/HNRNPC/RSL1D1/MEF2C/HNRNPU/IPO7/SYNCRIP/RBMX/DDX5/DHX9/SNRNP200/NOTCH1/CEBPA/MAPK14/HIRA/ADAR/SMAD3/TMEM53",44
"GO:0045088","GO:0045088","regulation of innate immune response","65/1762","409/17073",0.000272922686992829,0.0201997335550262,0.0185718342767805,"CADM1/LTF/IL18RAP/PRKD1/LAG3/WNT5A/RAET1E/POLR3G/XRCC5/ERAP1/HSPD1/HMGB1/MATR3/PTPN2/HSP90AA1/NONO/CTSS/PJA2/CDC37/PQBP1/DHX9/AP3B1/XRCC6/BTK/ZDHHC5/SPI1/LILRA2/EP300/IRF3/STING1/SCIMP/TYROBP/TRIM25/TTLL12/UNC93B1/TRIM56/ZNFX1/GRN/TREX1/PIK3R6/ADAR/TICAM1/LGALS9/HEXIM1/TRIM5/STAT2/PARP14/OAS1/IFI35/IRF4/PARP9/RIGI/DDX60/IFIH1/DHX58/IRF7/EIF2AK2/ZBP1/OASL/ISG15/OAS3/SERPING1/RSAD2/USP18/HPX",65
"GO:0006278","GO:0006278","RNA-templated DNA biosynthetic process","17/1762","66/17073",0.000287992881627653,0.0209237533949194,0.0192375052591708,"FBXO4/HNRNPA1/XRCC5/CCT2/HNRNPC/HSP90AB1/CCT6A/HSP90AA1/HNRNPU/RFC1/PTGES3/PARN/CCT5/TERF2IP/TINF2/TEP1/CTC1",17
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","26/1762","123/17073",0.000289862155804424,0.0209237533949194,0.0192375052591708,"IL6/ITK/EOMES/ZNF683/TOX/HMGB1/ANXA1/RPL22/NKAP/AP3B1/NCKAP1L/TGFBR2/STAT6/SEMA4A/SPN/RARA/TNFSF8/ZBTB7B/ASCL2/BATF/LGALS9/MYB/IRF4/IL2RG/RSAD2/PSMB11",26
